new_tag60_unix_nanoseconds,tag60,new_tag75,new_bid_01_price,new_bid_02_price,new_bid_03_price,new_bid_04_price,new_bid_05_price,new_bid_06_price,new_bid_07_price,new_bid_08_price,new_bid_09_price,new_bid_10_price,new_bid_11_price,new_bid_01_qty,new_bid_02_qty,new_bid_03_qty,new_bid_04_qty,new_bid_05_qty,new_bid_06_qty,new_bid_07_qty,new_bid_08_qty,new_bid_09_qty,new_bid_10_qty,new_bid_11_qty,new_ask_01_price,new_ask_02_price,new_ask_03_price,new_ask_04_price,new_ask_05_price,new_ask_06_price,new_ask_07_price,new_ask_08_price,new_ask_09_price,new_ask_10_price,new_ask_11_price,new_ask_01_qty,new_ask_02_qty,new_ask_03_qty,new_ask_04_qty,new_ask_05_qty,new_ask_06_qty,new_ask_07_qty,new_ask_08_qty,new_ask_09_qty,new_ask_10_qty,new_ask_11_qty,old_tag60_unix_nanoseconds,old_tag75,old_bid_01_price,old_bid_02_price,old_bid_03_price,old_bid_04_price,old_bid_05_price,old_bid_06_price,old_bid_07_price,old_bid_08_price,old_bid_09_price,old_bid_10_price,old_bid_11_price,old_bid_01_qty,old_bid_02_qty,old_bid_03_qty,old_bid_04_qty,old_bid_05_qty,old_bid_06_qty,old_bid_07_qty,old_bid_08_qty,old_bid_09_qty,old_bid_10_qty,old_bid_11_qty,old_ask_01_price,old_ask_02_price,old_ask_03_price,old_ask_04_price,old_ask_05_price,old_ask_06_price,old_ask_07_price,old_ask_08_price,old_ask_09_price,old_ask_10_price,old_ask_11_price,old_ask_01_qty,old_ask_02_qty,old_ask_03_qty,old_ask_04_qty,old_ask_05_qty,old_ask_06_qty,old_ask_07_qty,old_ask_08_qty,old_ask_09_qty,old_ask_10_qty,old_ask_11_qty
1577370957547689147,20191226143557547689147,20191226,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,119,171,154,215,252,120,116,191,148,74,154,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,201,149,147,226,148,355,161,339,186,113,116,1577370957547689147,20191226,388.0,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,7,8,5,70,1,68,56,198,221,77,114,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1389,58,1100,68,94
1577370960185628757,20191226143600185628757,20191226,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,121,151,154,215,272,120,116,191,148,74,154,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,196,149,147,226,148,355,161,339,186,113,116,1577370960185628757,20191226,388.0,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,7,8,5,70,1,68,56,198,221,77,114,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1389,58,1100,68,94
1577370978895150267,20191226143618895150267,20191226,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,127,113,201,292,120,117,191,148,74,154,81,388.0,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,107,164,157,158,226,148,355,161,339,186,113,1577370978895150267,20191226,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,8,5,65,1,68,55,198,221,77,114,641,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1389,58,1100,68,94
1577370981279266447,20191226143621279266447,20191226,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,67,173,283,119,117,192,146,74,154,81,182,387.75,388.0,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,176,155,184,181,176,231,155,355,161,339,186,1577370981279266447,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1389,58,1100,68,94
1577370995220472709,20191226143635220472709,20191226,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,66,173,289,119,117,192,146,74,154,81,182,387.75,388.0,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,104,252,137,182,178,232,155,355,161,339,186,1577370995220472709,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1389,58,1100,68,94
1577371008217740201,20191226143648217740201,20191226,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,87,179,294,124,122,197,151,79,154,81,182,387.75,388.0,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,113,249,119,179,178,232,155,355,161,339,186,1577371008217740201,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1389,58,1100,68,94
1577371012599206135,20191226143652599206135,20191226,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,62,146,123,384,124,122,197,151,79,154,81,388.0,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,80,101,170,178,277,155,355,161,339,186,113,1577371012599206135,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1389,58,1100,68,94
1577371022797274537,20191226143702797274537,20191226,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,113,153,123,384,164,122,197,151,79,154,81,388.0,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,80,100,181,181,277,200,400,161,339,186,112,1577371022797274537,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1390,58,1100,68,94
1577371038482985713,20191226143718482985713,20191226,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,117,124,179,134,384,164,122,198,151,80,154,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,43,161,177,302,186,392,199,384,186,112,116,1577371038482985713,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1390,58,1100,68,94
1577371040865970335,20191226143720865970335,20191226,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,115,126,186,144,384,165,122,198,151,80,154,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,44,160,176,301,186,392,199,384,186,112,116,1577371040865970335,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1390,58,1100,68,94
