date,open,settlement,high_trade,low_trade,volume,open_interest,high_bid,low_ask
20190314,5977.0,5994.0,6026.0,5961.0,57453.0,205660.0,6025.0,5963.0
20190315,5988.0,5984.0,6025.0,5909.0,42841.0,205680.0,6024.0,5910.0
20190318,5989.0,6013.0,6026.0,5945.0,64624.0,199520.0,6025.0,5947.0
20190319,6009.0,6019.0,6048.0,5984.0,43955.0,194907.0,6048.0,5984.0
20190320,6010.0,6087.0,6091.0,5967.0,82237.0,197255.0,6089.0,5968.0
20190321,6060.0,6052.0,6090.0,6029.0,56103.0,193211.0,6090.0,6030.0
20190322,6038.0,5973.0,6060.0,5894.0,49794.0,195885.0,6060.0,5895.0
20190325,5976.0,5963.0,6005.0,5908.0,55302.0,200257.0,6005.0,5909.0
20190326,5967.0,6010.0,6051.0,5966.0,80838.0,197962.0,6052.0,5962.0
20190327,6001.0,5976.0,6021.0,5913.0,55823.0,196763.0,6020.0,5913.0
20190328,5970.0,5963.0,5987.0,5873.0,35295.0,198096.0,5986.0,5874.0
20190329,5988.0,6022.0,6077.0,5974.0,58041.0,197222.0,6077.0,5973.0
20190401,6040.0,6127.0,6138.0,6039.0,83435.0,195634.0,6138.0,6033.0
20190402,6140.0,6176.0,6195.0,6115.0,94396.0,194009.0,6192.0,6115.0
20190403,6183.0,6180.0,6226.0,6135.0,87322.0,200101.0,6226.0,6136.0
20190404,6187.0,6172.0,6218.0,6149.0,74524.0,203881.0,6218.0,6151.0
20190405,6179.0,6236.0,6245.0,6152.0,75276.0,203147.0,6244.0,6152.0
20190408,6240.0,6288.0,6289.0,6230.0,117303.0,201815.0,6288.0,6230.0
20190409,6283.0,6262.0,6312.0,6232.0,96599.0,199537.0,6311.0,6232.0
20190410,6273.0,6346.0,6347.0,6257.0,86286.0,201483.0,6346.0,6257.0
20190411,6341.0,6284.0,6341.0,6253.0,98460.0,203224.0,6336.0,6253.0
20190412,6293.0,6321.0,6353.0,6286.0,78071.0,209252.0,6352.0,6285.0
20190415,6312.0,6306.0,6318.0,6265.0,60869.0,214509.0,6319.0,6265.0
20190416,6312.0,6346.0,6363.0,6268.0,60420.0,218456.0,6362.0,6268.0
20190417,6353.0,6331.0,6374.0,6312.0,63041.0,215129.0,6372.0,6311.0
20190418,6327.0,6328.0,6351.0,6295.0,46597.0,215439.0,6350.0,6295.0
20190422,6345.0,6414.0,6480.0,6341.0,125667.0,215871.0,6479.0,6341.0
20190423,6425.0,6468.0,6480.0,6413.0,85386.0,220061.0,6480.0,6414.0
20190424,6467.0,6453.0,6481.0,6438.0,59763.0,218941.0,6481.0,6439.0
20190425,6447.0,6421.0,6489.0,6396.0,56617.0,219503.0,6488.0,6398.0
20190426,6416.0,6249.0,6418.0,6148.0,74999.0,224471.0,6415.0,6148.0
20190429,6225.0,6267.0,6291.0,6189.0,68344.0,227290.0,6290.0,6188.0
20190430,6267.0,6307.0,6378.0,6242.0,58130.0,222315.0,6377.0,6241.0
20190501,6265.0,6292.0,6311.0,6213.0,52266.0,227619.0,6311.0,6213.0
20190502,6286.0,6133.0,6301.0,6049.0,67517.0,228578.0,6302.0,6048.0
20190503,6106.0,6138.0,6190.0,6079.0,39339.0,230619.0,6190.0,6081.0
20190506,6098.0,6172.0,6225.0,5955.0,38265.0,229740.0,6225.0,5957.0
20190507,6170.0,6079.0,6184.0,6020.0,69448.0,226200.0,6186.0,6020.0
20190508,6076.0,6155.0,6173.0,6050.0,54122.0,227778.0,6173.0,6051.0
20190509,6143.0,6124.0,6175.0,6056.0,56086.0,229938.0,6173.0,6056.0
20190510,6118.0,6123.0,6191.0,6097.0,48340.0,228803.0,6190.0,6097.0
20190513,6124.0,6079.0,6291.0,6041.0,71426.0,233010.0,6290.0,6041.0
20190514,6061.0,6165.0,6193.0,6050.0,66465.0,237599.0,6192.0,6051.0
20190515,6120.0,6208.0,6237.0,6090.0,66867.0,241036.0,6238.0,6091.0
20190516,6220.0,6272.0,6333.0,6220.0,59038.0,245881.0,6332.0,6221.0
20190517,6286.0,6239.0,6323.0,6219.0,56248.0,250467.0,6322.0,6219.0
20190520,6242.0,6265.0,6338.0,6216.0,45518.0,252082.0,6337.0,6217.0
20190521,6273.0,6262.0,6314.0,6228.0,52805.0,254867.0,6312.0,6228.0
20190522,6249.0,6097.0,6250.0,6056.0,72808.0,255970.0,6249.0,6057.0
20190523,6091.0,5757.0,6094.0,5702.0,93707.0,253877.0,6094.0,5703.0
20190524,5788.0,5835.0,5882.0,5726.0,61871.0,250068.0,5879.0,5727.0
20190527,5859.0,,5923.0,5803.0,,,5922.0,5802.0
20190528,,5920.0,5952.0,,79567.0,253883.0,5951.0,
20190529,5907.0,5866.0,5910.0,5742.0,127777.0,252814.0,5907.0,5743.0
20190530,5892.0,5653.0,5936.0,5629.0,75225.0,250715.0,5935.0,5629.0
20190531,5650.0,5355.0,5652.0,5306.0,94363.0,250354.0,5652.0,5308.0
20190603,5339.0,5329.0,5455.0,5217.0,75919.0,250704.0,5455.0,5219.0
20190604,5297.0,5356.0,5387.0,5247.0,60169.0,252295.0,5386.0,5247.0
20190605,5318.0,5178.0,5351.0,5084.0,79447.0,258277.0,5350.0,5084.0
20190606,5173.0,5263.0,5330.0,5129.0,73612.0,256496.0,5330.0,5131.0
20190607,5308.0,5410.0,5435.0,5270.0,64753.0,257515.0,5436.0,5270.0
20190610,5450.0,5358.0,5490.0,5336.0,55456.0,258423.0,5486.0,5336.0
20190611,5373.0,5375.0,5431.0,5345.0,61819.0,252975.0,5431.0,5344.0
20190612,5350.0,5169.0,5350.0,5133.0,69054.0,251234.0,5350.0,5134.0
20190613,5162.0,5281.0,5380.0,5156.0,85538.0,251880.0,5381.0,5156.0
20190614,5265.0,5298.0,5349.0,5226.0,49291.0,253894.0,5348.0,5227.0
20190617,5300.0,5236.0,5326.0,5203.0,40364.0,251606.0,5325.0,5203.0
20190618,5236.0,5400.0,5446.0,5188.0,64378.0,252171.0,5447.0,5189.0
20190619,5416.0,5383.0,5444.0,5344.0,61214.0,257162.0,5443.0,5345.0
20190620,5425.0,5670.0,5693.0,5420.0,130325.0,260391.0,5693.0,5420.0
20190621,5690.0,5704.0,5759.0,5621.0,84871.0,268563.0,5759.0,5622.0
20190624,5736.0,5741.0,5772.0,5639.0,62658.0,269067.0,5770.0,5639.0
20190625,5723.0,5747.0,5838.0,5679.0,65967.0,271339.0,5836.0,5676.0
20190626,5835.0,5891.0,5930.0,5814.0,109048.0,274380.0,5928.0,5814.0
20190627,5875.0,5895.0,5919.0,5820.0,61021.0,276236.0,5919.0,5820.0
20190628,5871.0,5798.0,5925.0,5734.0,53781.0,278612.0,5925.0,5734.0
20190701,5862.0,5860.0,5973.0,5790.0,81809.0,278258.0,5974.0,5791.0
20190702,5868.0,5603.0,5897.0,5586.0,91287.0,281942.0,5896.0,5587.0
20190703,5632.0,5726.0,5739.0,5587.0,60726.0,285955.0,5737.0,5589.0
20190704,5729.0,,5747.0,5640.0,,,5748.0,5641.0
20190705,,5735.0,5763.0,5620.0,39874.0,284461.0,5762.0,5621.0
20190708,5759.0,5751.0,5825.0,5719.0,42962.0,284634.0,5823.0,5719.0
20190709,5745.0,5771.0,5877.0,5721.0,59095.0,284054.0,5839.0,5722.0
20190710,5820.0,6014.0,6021.0,5820.0,90141.0,284357.0,6021.0,5820.0
20190711,6008.0,5991.0,6056.0,5979.0,79710.0,286070.0,6054.0,5981.0
20190712,6006.0,5996.0,6042.0,5970.0,56068.0,286859.0,6041.0,5971.0
20190715,6000.0,5933.0,6054.0,5895.0,59270.0,293870.0,6054.0,5898.0
20190716,5896.0,5743.0,5979.0,5690.0,88100.0,293158.0,5979.0,5690.0
20190717,5743.0,5680.0,5824.0,5637.0,109801.0,296252.0,5822.0,5638.0
20190718,5660.0,5536.0,5740.0,5480.0,86325.0,299610.0,5740.0,5482.0
20190719,5576.0,5583.0,5645.0,5520.0,71591.0,298291.0,5645.0,5521.0
20190722,5634.0,5630.0,5708.0,5592.0,55059.0,300264.0,5708.0,5590.0
20190723,5624.0,5685.0,5750.0,5584.0,60205.0,298962.0,5740.0,5584.0
20190724,5728.0,5605.0,5775.0,5547.0,111929.0,295315.0,5775.0,5549.0
20190725,5608.0,5627.0,5710.0,5600.0,61439.0,294843.0,5709.0,5600.0
20190726,5615.0,5643.0,5678.0,5594.0,41832.0,291621.0,5679.0,5595.0
20190729,5641.0,5697.0,5717.0,5603.0,52063.0,289796.0,5717.0,5603.0
20190730,5713.0,5800.0,5839.0,5703.0,79153.0,285391.0,5839.0,5703.0
20190731,5830.0,5850.0,5873.0,5774.0,88551.0,275766.0,5872.0,5774.0
20190801,5782.0,5395.0,5794.0,5361.0,108856.0,276721.0,5794.0,5363.0
20190802,5448.0,5556.0,5600.0,5412.0,96337.0,274438.0,5600.0,5415.0
20190805,5514.0,5430.0,5536.0,5410.0,130946.0,266228.0,5535.0,5411.0
20190806,5449.0,5342.0,5495.0,5310.0,92959.0,262527.0,5494.0,5312.0
20190807,5323.0,5086.0,5357.0,5033.0,141490.0,262197.0,5356.0,5043.0
20190808,5199.0,5210.0,5262.0,5156.0,126010.0,258870.0,5261.0,5156.0
20190809,5230.0,5378.0,5411.0,5193.0,172619.0,260548.0,5409.0,5194.0
20190812,5355.0,5419.0,5433.0,5288.0,131153.0,258549.0,5432.0,5289.0
20190813,5401.0,5654.0,5673.0,5349.0,128255.0,266728.0,5673.0,5350.0
20190814,5613.0,5466.0,5627.0,5350.0,103300.0,266834.0,5625.0,5351.0
20190815,5429.0,5371.0,5471.0,5316.0,110640.0,268786.0,5471.0,5316.0
20190816,5388.0,5399.0,5482.0,5349.0,71920.0,271256.0,5481.0,5349.0
20190819,5415.0,5521.0,5534.0,5400.0,93378.0,270564.0,5532.0,5400.0
20190820,5510.0,5534.0,5564.0,5435.0,113089.0,266271.0,5563.0,5435.0
20190821,5534.0,5518.0,5645.0,5504.0,133277.0,266365.0,5645.0,5504.0
20190822,5534.0,5487.0,5587.0,5445.0,99066.0,271901.0,5586.0,5444.0
20190823,5490.0,5374.0,5512.0,5286.0,132267.0,266486.0,5511.0,5286.0
20190826,5284.0,5324.0,5472.0,5260.0,79259.0,269193.0,5471.0,5262.0
20190827,5344.0,5446.0,5519.0,5330.0,86097.0,268823.0,5517.0,5331.0
20190828,5520.0,5526.0,5612.0,5480.0,132827.0,272778.0,5610.0,5481.0
20190829,5533.0,5605.0,5620.0,5488.0,146405.0,277861.0,5619.0,5488.0
20190830,5593.0,5456.0,5607.0,5400.0,108657.0,281525.0,5606.0,5400.0
20190902,5438.0,,5467.0,5376.0,,,5467.0,5377.0
