tag60_unix_nanoseconds,packet_no,tag1128,tag9,tag35,tag49,tag75,tag34,tag52,tag60,tag5799,tag268,tag268_no,tag279,tag269,tag48,tag55,tag83,tag270,tag271,tag346,tag346_no,tag5797,tag37711,tag37705,tag37705_no,tag37,tag32,tag10,tag_pattern
1572885761408562995,351061,9,244,X,CME,20191104,1063190,20191104164241408834640,20191104164241408562995,00000001,1,1,0,2,19296,LEZ9,168483,119575.0,1,2,2,2,2165781,2,2,703441467305,1,159,3
1572885765777458675,351304,9,350,X,CME,20191104,1063615,20191104164245777792207,20191104164245777458675,00000001,2,1,0,2,19296,LEZ9,168589,119550.0,2,1,1,1,2165790,3,1,703441467509,2,122,3
1572885766154879771,351398,9,265,X,CME,20191104,1063712,20191104164246155093236,20191104164246154879771,00000001,1,1,0,2,19296,LEZ9,168630,119575.0,3,3,1,1,2165796,3,1,703441467551,3,154,3
1572885766154879771,351398,9,265,X,CME,20191104,1063712,20191104164246155093236,20191104164246154879771,00000001,1,1,0,2,19296,LEZ9,168630,119575.0,3,3,2,1,2165796,3,2,703441467413,2,154,3
1572885766154879771,351398,9,265,X,CME,20191104,1063712,20191104164246155093236,20191104164246154879771,00000001,1,1,0,2,19296,LEZ9,168630,119575.0,3,3,3,1,2165796,3,3,703441467417,1,154,3
1572885767209161989,351523,9,244,X,CME,20191104,1063813,20191104164247209366913,20191104164247209161989,00000001,1,1,0,2,19296,LEZ9,168697,119550.0,3,2,1,2,2165798,2,1,703441467588,3,200,3
1572885767209161989,351523,9,244,X,CME,20191104,1063813,20191104164247209366913,20191104164247209161989,00000001,1,1,0,2,19296,LEZ9,168697,119550.0,3,2,2,2,2165798,2,2,703441467509,3,200,3
1572885771827016711,351833,9,244,X,CME,20191104,1064474,20191104164251827261096,20191104164251827016711,00000001,1,1,0,2,19296,LEZ9,168849,119550.0,1,2,1,1,2165819,2,1,703441467906,1,174,3
1572885771827016711,351833,9,244,X,CME,20191104,1064474,20191104164251827261096,20191104164251827016711,00000001,1,1,0,2,19296,LEZ9,168849,119550.0,1,2,2,1,2165819,2,2,703441467897,1,174,3
1572885777337648525,352049,9,265,X,CME,20191104,1064775,20191104164257337872197,20191104164257337648525,00000001,1,1,0,2,19296,LEZ9,168949,119550.0,3,3,1,2,2165836,3,1,703441468081,3,176,3
1572885777337648525,352049,9,265,X,CME,20191104,1064775,20191104164257337872197,20191104164257337648525,00000001,1,1,0,2,19296,LEZ9,168949,119550.0,3,3,2,2,2165836,3,2,703441468025,2,176,3
1572885777337648525,352049,9,265,X,CME,20191104,1064775,20191104164257337872197,20191104164257337648525,00000001,1,1,0,2,19296,LEZ9,168949,119550.0,3,3,3,2,2165836,3,3,703441468038,1,176,3
1572885777414191269,352075,9,351,X,CME,20191104,1064795,20191104164257414488164,20191104164257414191269,00000001,2,2,0,2,19296,LEZ9,168968,119550.0,1,1,1,0,2165838,3,3,703441467902,1,187,3
1572885778268866271,352128,9,265,X,CME,20191104,1064843,20191104164258269094547,20191104164258268866271,00000001,1,1,0,2,19296,LEZ9,169006,119575.0,2,3,1,1,2165840,3,1,703441468110,2,169,3
1572885778268866271,352128,9,265,X,CME,20191104,1064843,20191104164258269094547,20191104164258268866271,00000001,1,1,0,2,19296,LEZ9,169006,119575.0,2,3,2,1,2165840,3,2,703441467569,1,169,3
1572885778268866271,352128,9,265,X,CME,20191104,1064843,20191104164258269094547,20191104164258268866271,00000001,1,1,0,2,19296,LEZ9,169006,119575.0,2,3,3,1,2165840,3,3,703441467593,1,169,3
1572885778269144073,352141,9,244,X,CME,20191104,1064851,20191104164258269370991,20191104164258269144073,00000001,1,1,0,2,19296,LEZ9,169013,119575.0,1,2,1,1,2165841,2,1,703441468112,1,163,3
1572885778269144073,352141,9,244,X,CME,20191104,1064851,20191104164258269370991,20191104164258269144073,00000001,1,1,0,2,19296,LEZ9,169013,119575.0,1,2,2,1,2165841,2,2,703441467916,1,163,3
1572885779687804707,352241,9,244,X,CME,20191104,1064996,20191104164259688008354,20191104164259687804707,00000001,1,1,0,2,19296,LEZ9,169063,119550.0,1,2,1,2,2165843,2,1,703441468185,1,188,3
1572885779687804707,352241,9,244,X,CME,20191104,1064996,20191104164259688008354,20191104164259687804707,00000001,1,1,0,2,19296,LEZ9,169063,119550.0,1,2,2,2,2165843,2,2,703441467902,1,188,3
1572885780776146069,352285,9,244,X,CME,20191104,1065073,20191104164300776440411,20191104164300776146069,00000001,1,1,0,2,19296,LEZ9,169087,119550.0,1,2,1,2,2165845,2,1,703441468215,1,135,3
1572885780776146069,352285,9,244,X,CME,20191104,1065073,20191104164300776440411,20191104164300776146069,00000001,1,1,0,2,19296,LEZ9,169087,119550.0,1,2,2,2,2165845,2,2,703441468102,1,135,3
1572885780947651379,352337,9,244,X,CME,20191104,1065111,20191104164300947844478,20191104164300947651379,00000001,1,1,0,2,19296,LEZ9,169114,119575.0,4,2,1,1,2165847,2,1,703441466035,4,164,3
1572885780947651379,352337,9,244,X,CME,20191104,1065111,20191104164300947844478,20191104164300947651379,00000001,1,1,0,2,19296,LEZ9,169114,119575.0,4,2,2,1,2165847,2,2,703441468205,4,164,3
1572885780948062711,352351,9,244,X,CME,20191104,1065120,20191104164300948255848,20191104164300948062711,00000001,1,1,0,2,19296,LEZ9,169123,119550.0,1,2,1,2,2165848,2,1,703441468235,1,141,3
1572885780948062711,352351,9,244,X,CME,20191104,1065120,20191104164300948255848,20191104164300948062711,00000001,1,1,0,2,19296,LEZ9,169123,119550.0,1,2,2,2,2165848,2,2,703441468234,1,141,3
1572885780954046495,352362,9,244,X,CME,20191104,1065128,20191104164300954221303,20191104164300954046495,00000001,1,1,0,2,19296,LEZ9,169130,119575.0,1,2,1,1,2165849,2,1,703441468237,1,138,3
1572885780954046495,352362,9,244,X,CME,20191104,1065128,20191104164300954221303,20191104164300954046495,00000001,1,1,0,2,19296,LEZ9,169130,119575.0,1,2,2,1,2165849,2,2,703441468205,1,138,3
1572885781289689555,352368,9,244,X,CME,20191104,1065132,20191104164301289951889,20191104164301289689555,00000001,1,1,0,2,19296,LEZ9,169134,119575.0,2,2,1,1,2165850,2,1,703441468239,2,177,3
1572885781289689555,352368,9,244,X,CME,20191104,1065132,20191104164301289951889,20191104164301289689555,00000001,1,1,0,2,19296,LEZ9,169134,119575.0,2,2,2,1,2165850,2,2,703441468214,2,177,3
1572885781326762885,352380,9,244,X,CME,20191104,1065140,20191104164301327038792,20191104164301326762885,00000001,1,1,0,2,19296,LEZ9,169141,119550.0,1,2,1,2,2165851,2,1,703441468244,1,134,3
1572885781326762885,352380,9,244,X,CME,20191104,1065140,20191104164301327038792,20191104164301326762885,00000001,1,1,0,2,19296,LEZ9,169141,119550.0,1,2,2,2,2165851,2,2,703441468241,1,134,3
1572885783753407367,352506,9,944,X,CME,20191104,1065317,20191104164303754038983,20191104164303753407367,00000001,6,1,0,2,19296,LEZ9,169206,119550.0,2,2,1,1,2165866,15,1,703441468331,2,165,3
1572885783753407367,352506,9,944,X,CME,20191104,1065317,20191104164303754038983,20191104164303753407367,00000001,6,1,0,2,19296,LEZ9,169206,119550.0,2,2,2,1,2165866,15,2,703441468269,2,165,3
1572885783753407367,352506,9,944,X,CME,20191104,1065317,20191104164303754038983,20191104164303753407367,00000001,6,2,0,2,19296,LEZ9,169207,119575.0,18,4,1,1,2165867,15,3,703441468331,18,165,3
1572885783753407367,352506,9,944,X,CME,20191104,1065317,20191104164303754038983,20191104164303753407367,00000001,6,2,0,2,19296,LEZ9,169207,119575.0,18,4,2,1,2165867,15,4,703441468214,3,165,3
1572885783753407367,352506,9,944,X,CME,20191104,1065317,20191104164303754038983,20191104164303753407367,00000001,6,2,0,2,19296,LEZ9,169207,119575.0,18,4,3,1,2165867,15,5,703441468246,2,165,3
1572885783753407367,352506,9,944,X,CME,20191104,1065317,20191104164303754038983,20191104164303753407367,00000001,6,2,0,2,19296,LEZ9,169207,119575.0,18,4,4,1,2165867,15,6,703441468259,2,165,3
1572885783756072305,352614,9,244,X,CME,20191104,1065424,20191104164303756276487,20191104164303756072305,00000001,1,1,0,2,19296,LEZ9,169277,119575.0,2,2,1,2,2165876,2,1,703441468385,2,175,3
1572885783756072305,352614,9,244,X,CME,20191104,1065424,20191104164303756276487,20191104164303756072305,00000001,1,1,0,2,19296,LEZ9,169277,119575.0,2,2,2,2,2165876,2,2,703441468331,2,175,3
1572885783796323091,352653,9,244,X,CME,20191104,1065468,20191104164303796517768,20191104164303796323091,00000001,1,1,0,2,19296,LEZ9,169295,119575.0,2,2,1,2,2165877,2,1,703441468400,2,181,3
1572885783796323091,352653,9,244,X,CME,20191104,1065468,20191104164303796517768,20191104164303796323091,00000001,1,1,0,2,19296,LEZ9,169295,119575.0,2,2,2,2,2165877,2,2,703441468331,2,181,3
1572885783854684047,352682,9,244,X,CME,20191104,1065492,20191104164303854873771,20191104164303854684047,00000001,1,1,0,2,19296,LEZ9,169309,119575.0,1,2,1,2,2165878,2,1,703441468408,1,180,3
1572885783854684047,352682,9,244,X,CME,20191104,1065492,20191104164303854873771,20191104164303854684047,00000001,1,1,0,2,19296,LEZ9,169309,119575.0,1,2,2,2,2165878,2,2,703441468331,1,180,3
